tcID,reactant,product,type,label
M-phasePromotingFactor,M-phasePromotingFactor,IE production & degradation_mod,-o,(IB*C*k*(M*C)/(IB*C+K)-I*C*kr/(I*C+Kr))/C
(UbE production & degradation).Flux,BoundUbiquitinProtease1,UbE production & degradation_mod,->,(I*C*k*(uB*C)/(K+uB*C)-kr*(u*C)/(Kr+u*C))/C
(UbE production & degradation).Flux,UbE production & degradation_mod,ubiquitinProtease1,->,(I*C*k*(uB*C)/(K+uB*C)-kr*(u*C)/(Kr+u*C))/C
IntermediaryEnzyme,IntermediaryEnzyme,UbE production & degradation_mod,-o,(I*C*k*(uB*C)/(K+uB*C)-kr*(u*C)/(Kr+u*C))/C
(UbE2 production & degradation).Flux,BoundUbiquitinProtease2,UbE2 production & degradation_mod,->,(k*(M*C)*(uB*C)/(K+uB*C)-k*(u*C)/(K+u*C))/C
(UbE2 production & degradation).Flux,UbE2 production & degradation_mod,ubiquitinProtease2,->,(k*(M*C)*(uB*C)/(K+uB*C)-k*(u*C)/(K+u*C))/C
M-phasePromotingFactor,M-phasePromotingFactor,UbE2 production & degradation_mod,-o,(k*(M*C)*(uB*C)/(K+uB*C)-k*(u*C)/(K+u*C))/C
(Wee1 production & degradation).Flux,BoundWee1,Wee1 production & degradation_mod,->,(kr*(WB*C)/(Kr+WB*C)-k*(M*C)*(W*C)/(K+W*C))/C
(Wee1 production & degradation).Flux,Wee1 production & degradation_mod,Wee1,->,(kr*(WB*C)/(Kr+WB*C)-k*(M*C)*(W*C)/(K+W*C))/C
M-phasePromotingFactor,M-phasePromotingFactor,Wee1 production & degradation_mod,-o,(kr*(WB*C)/(Kr+WB*C)-k*(M*C)*(W*C)/(K+W*C))/C
(Cdc25 production & degradation).Flux,BoundCdc25,Cdc25 production & degradation_mod,->,(CB*C*k*(M*C)/(CB*C+K)-C*C*kr/(C*C+Kr))/C
(Cdc25 production & degradation).Flux,Cdc25 production & degradation_mod,Cdc25,->,(CB*C*k*(M*C)/(CB*C+K)-C*C*kr/(C*C+Kr))/C
M-phasePromotingFactor,M-phasePromotingFactor,Cdc25 production & degradation_mod,-o,(CB*C*k*(M*C)/(CB*C+K)-C*C*kr/(C*C+Kr))/C
