Time,FreeRum1,Cdc13_Cdc2,Cig2_Cdc2,Cdc13_P-Cdc2,Cdc13_Cdc2_Rum1,Cdc13_P-Cdc2_Rum1,Cig2_Cdc2_Rum1,IntermediaryEnzyme,Cdc25,Wee1,ubiquitinProtease2,ubiquitinProtease1,Values[Mass],Values[kp],S-phasePromotingFactor,M-phasePromotingFactor,BoundIntermediaryEnzyme,BoundUbiquitinProtease1,BoundUbiquitinProtease2,BoundWee1,BoundCdc25,TotalRum1,TotalCdc13,TotalCig2,Values[k2],Values[k6],Values[kwee],Values[k25],(Cdc13_Cdc2 creation).Flux,(Cig2_Cdc2 creation).Flux,(Cdc2 phosphorylation).Flux,(binding of Rum1 with Cdc13_Cdc2).Flux,(binding of Rum1 with Cdc13_P-Cdc2).Flux,(Rum1 degradation in Rum1_Cdc13_Cdc2).Flux,(Rum1 degradation in solution).Flux,(Rum1 degradation in Rum1_Cdc13_P-Cdc2).Flux,(Rum1 degradation in Rum1_Cig2_Cdc2).Flux,(Cdc13 degradation in Cdc13_Cdc2).Flux,(Cdc13 degradation in Cdc13_P-Cdc2).Flux,(Cig2 degradation in Cig2_Cdc2).Flux,(Cdc13 degradation in Rum1_Cdc13_P-Cdc2).Flux,(Cdc13 degradation in Rum1_Cdc13_Cdc2).Flux,(Cig2 degradation in Rum1_Cig2_Cdc2).Flux,(Binding of Rum1 to Cig2_Cdc2).Flux,(UbE mediated degradation of Cdc13_Cdc2 in Rum1_Cdc13_Cdc2).Flux,(UbE mediated degradation of Cdc13_Cdc2 in Rum1_Cdc13_P-Cdc2).Flux,(Rum1 creation).Flux,(Rum1 degradation by SPF).Flux,(IE production & degradation).Flux,(UbE production & degradation).Flux,(UbE2 production & degradation).Flux,(Wee1 production & degradation).Flux,(Cdc25 production & degradation).Flux,Values[Mass],Values[k2],Values[k6],Values[kwee],Values[k25]
0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999999999999,0.49,3.25,0.0,0.0,0.9999999999999999,0.89,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.4,0.0,0.0,0.034175,0.0375,0.035,0.025,0.015,0.00175,0.0,0.0,0.0,0.0,0.07500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,-0.09166666666666667,0.0,0.22727272727272727,0.0,0.49,0.034175,0.0375,0.035,0.025
0.1,0.40065693398368424,0.0003726409537203989,0.00014421946408125794,3.516152153655476e-07,0.0011214800095066656,7.59918199206312e-07,3.0491475272873086e-05,7.702634778771143e-06,2.33668559760658e-05,0.022700200541461105,2.139906814934661e-05,0.10086686596987386,0.4902426100410313,3.25,0.0004087134005014817,0.0003726585344811672,0.9999922973652211,0.8991331340301261,0.9999786009318506,0.9772997994585387,0.9999766331440239,0.40180966538666296,0.0014952324966416362,0.00017471093935413103,0.031960214997694414,0.0376596905460645,0.04215056317056025,0.025011099256588634,0.015,0.00175,1.569823177667786e-05,0.014817970198486435,1.4011715593116684e-05,0.0002102775017824998,0.0751231751219408,1.424846623511835e-07,5.7171516136637035e-06,1.1909684997849844e-05,1.1237697879543526e-08,5.43126038801944e-06,3.79959099603156e-08,5.6074000475333286e-05,0.0,0.0005747761354683817,3.584274221944941e-05,2.4287149027294504e-08,0.09375,0.0006495770737174512,7.062046428254085e-05,-0.0909786489768078,0.00022657304632765394,0.2267248882792389,0.0002803762733388732,0.4902426100410313,0.031960214997694414,0.0376596905460645,0.04215056317056025,0.025011099256588634
0.2,0.40086907130203703,0.0003892932905715802,0.00024177847241341332,4.7087435181550653e-07,0.0025869371717828784,2.3764644916523967e-06,0.00010719244432870519,1.245304096957799e-05,4.901050705975107e-05,0.045345172057187966,3.92162224802545e-05,0.09180810284155878,0.24524267010190065,6.5,0.0004497614523925244,0.000389316834289171,0.9999875469590304,0.9081918971584411,0.9999607837775197,0.9546548279428119,0.9999509894929401,0.4035655773826402,0.0029790778011979263,0.0003489709167421185,0.029763464939078006,0.0377926510602589,0.049283729198014214,0.025023279990853384,0.015,0.00175,1.9174042290387632e-05,0.015346870268376054,1.8638249962057837e-05,0.00048505071970928967,0.07516295086913194,4.455870921848244e-07,2.009858331163222e-05,1.1586717204945536e-05,1.4014852260971912e-08,9.137449441802562e-06,1.1882322458261984e-07,0.00012934685858914392,0.0,0.0009584958725390313,7.699621381195732e-05,7.073181757625995e-08,0.09375,0.0007151704966339538,2.9809341510412288e-05,-0.09017513562655258,0.00013566431492509348,0.22617410188343154,0.00023145657150662805,0.24524267010190065,0.029763464939078006,0.0377926510602589,0.049283729198014214,0.025023279990853384
0.3,0.4010183016269313,0.0003996699607023979,0.00030905253837596266,5.67790994039824e-07,0.0040472680159267,4.335952432320136e-06,0.00021386867564456035,1.449157930386635e-05,6.99300164417824e-05,0.06793473170413912,4.983377743686038e-05,0.08283669687606059,0.24536409527385178,6.5,0.0004769614848460906,0.00039969835025209993,0.9999855084206961,0.9171633031239393,0.9999501662225632,0.9320652682958609,0.9999300699835583,0.40528377427093487,0.004451841720055457,0.000522921214020523,0.027587898992444692,0.03787188456412257,0.05639944048680383,0.02503321675780985,0.015,0.00175,2.2526948527971185e-05,0.01562277008362513,2.2335862767659716e-05,0.0007588627529862562,0.07519093155504962,8.129910810600257e-07,4.0100376683355066e-05,1.1026054506172095e-05,1.566416059239043e-08,1.1704402057623519e-05,2.1679762161600686e-07,0.000202363400796335,0.0,0.0012179703729657495,0.00011165562121873783,1.196198177388928e-07,0.09375,0.0007587977734480019,1.359026256538996e-05,-0.08922553040283332,8.195923940443041e-05,0.2256150355876628,0.0001886569550954207,0.24536409527385178,0.027587898992444692,0.03787188456412257,0.05639944048680383,0.02503321675780985
0.4,0.4011225253720709,0.00040989746687459497,0.00035668270283145865,6.694066945690885e-07,0.005497049249778632,6.6168034593288545e-06,0.0003399720416541691,1.5501027374678116e-05,8.705435593628909e-05,0.09046768986795974,5.640370122140966e-05,0.07396924966047576,0.24548558056614161,6.5,0.000499101612917188,0.00040993093720932336,0.9999844989726252,0.9260307503395241,0.9999435962987785,0.9095323101320402,0.9999129456440637,0.406966163466963,0.005914232926807123,0.0006966547444856278,0.02543754304266537,0.03792091262036477,0.06349732230840732,0.02504135081906974,0.015,0.00175,2.601062871965653e-05,0.015892205780657368,2.6189730036719447e-05,0.0010306967343334935,0.07521047350726329,1.2406506486241603e-06,6.374475781015671e-05,1.0426784456702013e-05,1.7028061606149544e-08,1.3525733607267277e-05,3.308401729664428e-07,0.0002748524624889316,0.0,0.001396737460997489,0.00013983142689889534,1.6831522280153488e-07,0.09375,0.0007944141423398777,7.578497324329045e-06,-0.08808781137325637,5.236849553252583e-05,0.22504134998910127,0.00015521494575028143,0.24548558056614161,0.02543754304266537,0.03792091262036477,0.06349732230840732,0.02504135081906974
0.5,0.40118930892222815,0.00042008268728267994,0.00039157887555827926,7.767383027253229e-07,0.006936852834703739,9.229888860884851e-06,0.0004786532722056471,1.6129389380002546e-05,0.00010121795067792443,0.11294239106365571,6.074575003931678e-05,0.0652273188712925,0.24560712600853704,6.5,0.000518016243087386,0.0004201215241978162,0.99998387061062,0.9347726811287075,0.9999392542499607,0.8870576089363442,0.999898782049322,0.40861404491799835,0.007366942149150029,0.0008702321477639264,0.023317624826288432,0.0379533151596684,0.07057685318505155,0.025048078526572017,0.015,0.00175,2.962865834393037e-05,0.016159583016642713,3.023892140229119e-05,0.0013006599065069511,0.07522299542291777,1.7306041614159096e-06,8.974748853855883e-05,9.795330498076579e-06,1.811169233115713e-08,1.4861716473931945e-05,4.614944430442426e-07,0.000346842641735187,0.0,0.0015231072575171275,0.0001617509318747972,2.1521908564645166e-07,0.09375,0.0008249289158662949,5.3505799467752765e-06,-0.08670376506097854,3.608234785114291e-05,0.22444936966645712,0.00012913613483080003,0.24560712600853704,0.023317624826288432,0.0379533151596684,0.07057685318505155,0.025048078526572017
0.6,0.4012234901186042,0.0004302292617577587,0.0004182257768898002,8.898747203577054e-07,0.008367325713279137,1.2187079201055083e-05,0.0006254670568893856,1.661619407250048e-05,0.00011307234463675904,0.13535685790473642,6.386094947842664e-05,0.05663942686852624,0.24572873163081974,6.5,0.0005348301997162267,0.0004302737554937766,0.9999833838059274,0.9433605731314738,0.9999361390505215,0.8646431420952636,0.9998869276553632,0.4102284699679738,0.008810631928958307,0.0010436928337791858,0.02123506101561761,0.03797656233548276,0.07763741023999199,0.025053709363702464,0.015,0.00175,3.3379591029722064e-05,0.016425076024031936,3.448515618691805e-05,0.0015688735712398381,0.0752294043972383,2.2850773501978285e-06,0.00011727507316675979,9.135944624130127e-06,1.8896543983051536e-08,1.5882777286361203e-05,6.093539600527543e-07,0.0004183662856639569,0.0,0.0016154733529239649,0.00017768067205902862,2.5879337043656904e-07,0.09375,0.0008521266325935151,4.519118857140169e-06,-0.08499058015946037,2.7106348189339714e-05,0.2238362242123997,0.00010879234957166548,0.24572873163081974,0.02123506101561761,0.03797656233548276,0.07763741023999199,0.025053709363702464
0.7,0.40122821470018283,0.00044034038514982664,0.00043953283275479277,1.0088834613796144e-06,0.00978908254575578,1.5500211526561502e-05,0.0007775295132931765,1.7049863801982622e-05,0.00012312504067764956,0.15770884703704913,6.629938140865048e-05,0.04824413585123564,0.2458503974627861,6.5,0.0005502740375115939,0.00044039082932289565,0.999982950136198,0.9517558641487642,0.9999337006185912,0.8422911529629509,0.9998768749593222,0.41181032697075837,0.010245932025893545,0.0012170623460479692,0.019199202943924645,0.03799475913376205,0.08467828681667049,0.025058484394321883,0.015,0.00175,3.726198834020751e-05,0.016688790404830012,3.89292298523322e-05,0.0018354529773292089,0.07523029025628428,2.9062896612302817e-06,0.0001457867837424706,8.454184418897465e-06,1.936975832179638e-08,1.6699944111898473e-05,7.750105763280752e-07,0.000489454127287789,0.0,0.0016857767865538777,0.00018794258243079573,2.975917067722143e-07,0.09375,0.0008771668860377451,4.203745233284276e-06,-0.08282751505860197,2.2148999219471913e-05,0.22319941821923117,9.291674426542643e-05,0.2458503974627861,0.019199202943924645,0.03799475913376205,0.08467828681667049,0.025058484394321883
0.8,0.4012055457757568,0.00045041984492481785,0.000457387356364934,1.1338343830935124e-06,0.011202697769696224,1.9181058944576262e-05,0.0009329698530145176,1.746311986921792e-05,0.00013177154884098268,0.17999587507203818,6.836358713007348e-05,0.040094827421542675,0.24597212353424738,6.5,0.0005648233757352061,0.00045047653664397253,0.9999825368801308,0.9599051725784573,0.9999316364128699,0.8200041249279618,0.9998682284511589,0.4133603944574122,0.011673432507948715,0.0013903572093794518,0.0172229956497241,0.038010163268958175,0.09169870064769203,0.025062591485699465,0.015,0.00175,4.1274497697584823e-05,0.016950824194159705,4.357195835437749e-05,0.0021005058318180423,0.07522603983295441,3.596448552108049e-06,0.00017493184744022208,7.75757902968954e-06,1.952802464752717e-08,1.7385368092588298e-05,9.590529472288132e-07,0.0005601348884848113,0.0,0.0017417664541117875,0.00019294401495265198,3.303552947595385e-07,0.09375,0.0009008049878800927,4.079748554017558e-06,-0.08003440255285277,1.9402417316146823e-05,0.22253661910429895,8.052386801530638e-05,0.24597212353424738,0.0172229956497241,0.038010163268958175,0.09169870064769203,0.025062591485699465
0.9,0.4011568640998598,0.00046047161706268204,0.0004730130683085611,1.2648004708607896e-06,0.012608695193628049,2.324131094518113e-05,0.001090575019639213,1.7868131299062814e-05,0.00013932018249620572,0.20221522804148717,7.022004110288332e-05,0.03226724031144445,0.24609390987502947,6.5,0.0005787881241633652,0.0004605348570862251,0.9999821318687009,0.9677327596885554,0.999929779958897,0.7977847719585128,0.9998606798175037,0.41487937562407223,0.013093672922106774,0.0015635880879477744,0.01532480577552528,0.03802401705673027,0.09869779683306847,0.0250661770866857,0.015,0.00175,4.541583039566517e-05,0.017211265471422897,4.841420796573593e-05,0.0023641303488052597,0.07521691201872371,4.357745802221462e-06,0.00020448281618235247,7.056638096627654e-06,1.9382821560734522e-08,1.798585697742105e-05,1.1620655472590567e-06,0.0006304347596814026,0.0,0.0017884668896452304,0.000193225804925149,3.5616857620349073e-07,0.09375,0.0009235333359392854,4.027397809766201e-06,-0.07633747803080868,1.7873785148456785e-05,0.2218455338112465,7.08468700729493e-05,0.24609390987502947,0.01532480577552528,0.03802401705673027,0.09869779683306847,0.0250661770866857
1.0,0.40108313892005987,0.0004704995084300049,0.00048720375872261736,1.4018575272108545e-06,0.014007531388410278,2.7692531242804177e-05,0.0012495580888789888,1.8269485630420437e-05,0.00014601142841307206,0.22436396130163452,7.196052873085804e-05,0.0248711865312467,0.24621575651497302,6.5,0.0005923705409870198,0.00047056960130636543,0.9999817305143696,0.9751288134687532,0.9999280394712692,0.7756360386983654,0.9998539885715869,0.41636792092859193,0.014507125285610298,0.001736761847601606,0.013531262733827324,0.038037005445654026,0.10567464781001487,0.02506935542849621,0.015,0.00175,4.968472618351614e-05,0.01747018883130413,5.345688860896386e-05,0.0026264121353269275,0.07520308854751123,5.192349608025784e-06,0.0002342921416648104,6.366452464703001e-06,1.8968902516083564e-08,1.8531772023675307e-05,1.3846265621402092e-06,0.000700376569420514,0.0,0.0018291363195332895,0.00018953958746891254,3.7471491601110507e-07,0.09375,0.0009456734467040193,4.002473950784753e-06,-0.07131941233371782,1.701732193778061e-05,0.2211238299156498,6.328850281251568e-05,0.24621575651497302,0.013531262733827324,0.038037005445654026,0.10567464781001487,0.02506935542849621
1.1,0.4009851191729308,0.00048050688800203785,0.0005004744027651979,1.5450735927504074e-06,0.015399569085324262,3.2546087057856105e-05,0.0014094084874950539,1.8668973212887555e-05,0.00015203290342107894,0.24643889261226407,7.363576995288415e-05,0.018067634390010863,0.24633766348393357,6.5,0.0006057027423729748,0.00048058414168167534,0.9999813310267871,0.9819323656099891,0.999926364230047,0.753561107387736,0.999847967096579,0.4178266428328079,0.015914167133976902,0.0019098828902602521,0.011881401339577633,0.0380495069332734,0.11262825117286318,0.025072215629125014,0.015,0.00175,5.407991205390405e-05,0.0177276542663587,5.8700543166211435e-05,0.002887419203498299,0.07518470984492452,6.102391323348021e-06,0.00026426409140532266,5.7090951827836925e-06,1.8357639454650717e-08,1.9042804257940266e-05,1.6273043528928057e-06,0.0007699784542662131,0.0,0.0018658870316085373,0.00018296846075929,3.866931223672219e-07,0.09375,0.0009674354423483452,3.9884669333432985e-06,-0.06436807860702823,1.653266817338168e-05,0.22036907995941493,5.738334937619371e-05,0.24633766348393357,0.011881401339577633,0.0380495069332734,0.11262825117286318,0.025072215629125014
1.2,0.40086348080946443,0.0004904957058197344,0.0005131591905227953,1.6945314416246591e-06,0.016785036883917935,3.781298721356546e-05,0.0015697948288994526,1.9067318332667767e-05,0.00015753100041732628,0.26843659042525086,7.527383493029317e-05,0.012087641855745563,0.24645963081178135,6.5,0.0006188702300225146,0.0004905804323918157,0.9999809326816672,0.9879123581442545,0.9999247261650696,0.7315634095747491,0.9998424689995825,0.41925612550949537,0.017315040108392857,0.0020829540194222474,0.0104312531500183,0.03806173099316731,0.11955752598395403,0.025074827225198233,0.015,0.00175,5.859996301043437e-05,0.017983677907307594,6.414627848171754e-05,0.003147194415734613,0.0751619026517746,7.089935102543524e-06,0.00029433653041864734,5.116484876402554e-06,1.767608643825228e-08,1.9531727066350122e-05,1.8906493606782731e-06,0.0008392518441958968,0.0,0.0019000883103334034,0.0001750889688685423,3.944368419831064e-07,0.09375,0.0009889553719000402,3.97893088006324e-06,-0.05472203900783353,1.6253690920486495e-05,0.21957871862502273,5.276774701242306e-05,0.24645963081178135,0.0104312531500183,0.03806173099316731,0.11955752598395403,0.025074827225198233
1.3,0.40071895323140727,0.0005004667233394471,0.0005254751703844067,1.8502822218400626e-06,0.01816397261904415,4.3503707315527587e-05,0.0017305018317643425,1.9464817785076404e-05,0.0001626198918922881,0.29035335812434554,7.689024603199483e-05,0.007229093937630617,0.24658165852840136,6.5,0.0006319280300466408,0.000500559237450539,0.9999805351822149,0.9927709060623694,0.9999231097539679,0.7096466418756544,0.9998373801081077,0.42065693138953136,0.018709793331920965,0.002255977002148749,0.009253055279875425,0.03807379346101376,0.12646130780916884,0.02507724444864884,0.015,0.00175,6.324327636889988e-05,0.018238252888469142,6.97939447802905e-05,0.003405744866070779,0.07513480373088888,8.156945121661422e-06,0.00032446909345581424,4.630846256798024e-06,1.7120763682056825e-08,2.0006833106106916e-05,2.1751853657763795e-06,0.0009081986309522077,0.0,0.0019326284190789148,0.00016807224274615915,4.025422086700977e-07,0.09375,0.0010103208307884208,3.97120918466302e-06,-0.04195478839536841,1.6088225340069398e-05,0.218750005353899,4.9157451502578086e-05,0.24658165852840136,0.009253055279875425,0.03807379346101376,0.12646130780916884,0.02507724444864884
